ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000906.SZ,浙商中拓,CNE000000YS8,商业贸易-贸易Ⅱ-贸易Ⅲ,6120000000000000-6120020000000000-6120020100000000,钢铁--其他钢铁--贸易流通,b105000000000000-b105020000000000-b105020300000000,否,否,否,48.3570835,商业贸易,贸易Ⅱ
000908.SZ,景峰医药,CNE000000Y11,医药生物-化学制药-化学制剂,6115000000000000-6115010000000000-6115010200000000,医药--化学制药--化学制剂,b10i000000000000-b10i010000000000-b10i010200000000,否,否,否,44.8684919,医药生物,化学制药
000909.SZ,数源科技,CNE000000YN9,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,综合--综合Ⅱ--综合Ⅲ,b10t000000000000-b10t010000000000-b10t010100000000,否,否,否,32.80005527,房地产,房地产开发Ⅱ
000910.SZ,大亚圣象,CNE000000YV2,轻工制造-家用轻工-家具,6114000000000000-6114020000000000-6114020200000000,轻工制造--家居--其他家居,b109000000000000-1000034736000000-1000034738000000,否,否,否,84.13499575,轻工制造,家用轻工
000911.SZ,南宁糖业,CNE000000YX8,农林牧渔-农产品加工-其他农产品加工,6101000000000000-6101020000000000-1000004586000000,农林牧渔--农产品加工Ⅱ--农产品加工Ⅲ,b10k000000000000-1000034803000000-1000034804000000,否,否,否,26.47741255,农林牧渔,农产品加工
000912.SZ,泸天化,CNE000000Z02,化工-化学制品-氮肥,6103000000000000-6103040000000000-6103040100000000,基础化工--农用化工--氮肥,b106000000000000-b106010000000000-b106010100000000,否,否,否,65.3856,化工,化学制品
000913.SZ,钱江摩托,CNE000000YQ2,汽车-其他交运设备Ⅱ-其他交运设备Ⅲ,1000012588000000-1000004612000000-1000012590000000,汽车--摩托车及其他Ⅱ--摩托车及其他Ⅲ,b10d000000000000-b10d050000000000-b10d050100000000,否,否,否,119.1892608,汽车,其他交运设备Ⅱ
000915.SZ,山大华特,CNE000000Z28,医药生物-化学制药-化学制剂,6115000000000000-6115010000000000-6115010200000000,医药--化学制药--化学制剂,b10i000000000000-b10i010000000000-b10i010200000000,否,否,否,60.90275295,医药生物,化学制药
000917.SZ,电广传媒,CNE000000YB4,传媒-文化传媒-有线电视网络,6122010000000000-1000012604000000-6122040400000000,传媒--广告营销--其他广告营销,b10s000000000000-1000034854000000-1000034856000000,否,否,否,79.95017746,传媒,文化传媒
000918.SZ,嘉凯城,CNE000000ZM8,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,77.39981535,房地产,房地产开发Ⅱ
